ID	ROAD_NODE_ID	ROAD_NODE_NAME	ROAD_NODE_KM	ROAD_DIRECTION	longitude	latitude	SDE_ID	cell_id	length
3	4620	将乐、玉华洞出入口立交桥	265948.2813	2	117.515642	26.71727754	0B36068D0E524F618E92A4BC3CFA7ABF	12332	4.202661
3	4013	将乐、玉华洞出入口立交桥	265838.5313	1	117.515422	26.71629198	CD66C85609EC4D3B9D18CF33DC1F8A5C	12332	4.300637
4	5418	夏茂出入口立交桥	244155.4063	2	117.6651155	26.60561043	C4DF2E37D3774E1489087A2A11371582	41261	2.096816
4	3850	夏茂出入口立交桥	243752	1	117.6685795	26.60362558	4F85E8B59404408AA93CDA5D30F20A54	41261	0.033623
4	4693	夏茂出入口立交桥	243467	2	117.6712627	26.60262653	3CF58FE19A8F4AE89BA062A6E0A94EF1	41261	0.302244
4	3852	夏茂出入口立交桥	243356.75	1	117.672383	26.60257798	B9D4F07E1D774A8C946FCBD85CAFD1CE	41261	0.413844
5	4988	高桥服务区导流线	234295.25	2	117.7521887	26.57276953	5B7F3E62CF214B359FE62E184BBDBA7B	33981	0.588426
5	5300	高桥服务区导流线	234076.7813	1	117.7542556	26.57225368	A0D0F7917F024BC8B350A6CD0452D372	33981	0.820215
5	3842	高桥服务区导流线	233555.1719	2	117.7589633	26.57037639	FCC865762A204B03AD7150AE5399BC0C	33981	1.341737
5	5301	高桥服务区导流线	233487.6719	1	117.7596137	26.57020437	44DBA7809F184E239E9B91366B750C61	33981	1.406916
6	3969	际口枢纽互通立交桥	215289	2	117.8105362	26.43367273	6E90C77CCA604F76BEA4399D5161F7AF	31067	1.765819
6	5415	际口枢纽互通立交桥	215171.1875	1	117.8109262	26.43263199	BCF82BD96DC44007A62E1340924EAAAC	31067	1.889719
6	3971	际口枢纽互通立交桥	214461.2188	1	117.8147562	26.42759515	5D5D01130D994EDC98ED69B414BD872A	31067	2.323045
