8	7191	23017	1	117.43335	24.67927			
6	7192	24863	1	118.876981	26.199116			
8	7192	23017	1	117.43335	24.67927			
6	7193	24863	1	118.876981	26.199116			
8	7193	23017	1	117.43335	24.67927			
6	7201	24838	1	118.69857	26.18781			
1	7252	22962	1	118.8188721	25.1541591			
1	7321	22882	1	117.14593	23.68948			
1	7322	22882	1	117.14593	23.68948			
1	7382	24665	1	118.6124211	24.8958311			
1	7385	24665	1	118.6124211	24.8958311			
8	7421	23017	1	117.37925	24.73528			
8	7423	22858	1	118.65136	25.35509			
7	7451	24588	1	118.39068	25.048315			
8	7451	23017	1	117.27805	24.82416			
7	7452	24588	1	118.39068	25.048315			
8	7452	23017	1	117.27805	24.82416			
7	7481	22979	1	118.37195	25.17685			
7	7482	22979	1	118.37195	25.17685			
1	7491	24668	1	118.7683211	25.0978711			
1	7492	24668	1	118.7683211	25.0978711			
9	7511	24834	2	119.276754	26.13741			
9	7521	24834	2	119.2743972	26.1355			
1	7571	22862	1	119.065961	25.375682			
1	7573	24651	1	119.065961	25.375682			
1	7613	24643	1	119.03861	25.34421			
1	7641	22785	1	117.57428	23.94582			
1	7642	22785	1	117.57428	23.94582			
2	7682	22858	1	118.65001	25.37191			
2	7683	22858	1	118.65001	25.37191			
2	7685	22858	1	118.65001	25.37191			
2	7686	22858	1	118.65001	25.37191			
8	7702	22858	1	118.63202	25.34141			
8	7703	22858	1	118.63202	25.34141			
1	7761	22859	1	119.11901	25.43809			
1	7762	22859	1	119.11901	25.43809			
1	7763	22859	1	119.11901	25.43809			
1	7781	22879	1	118.4329301	24.7492401			
1	7782	22879	1	118.4329301	24.7492401			
1	7784	22879	1	118.4329301	24.7492401			
1	7785	22879	1	118.4329301	24.7492401			
1	7791	22967	1	118.391221	24.709381			
1	7793	22967	1	118.391221	24.709381			
1	7794	22967	1	118.391221	24.709381			
1	7796	22967	1	118.391221	24.709381			
1	7921	22786	1	117.8018	24.42743			
1	7922	22786	1	117.8018	24.42743			
1	7941	23016	1	117.88004	24.54268			
1	7942	23016	1	117.88004	24.54268			
8	7972	23017	1	117.2167222	24.86933333			
8	7981	23017	1	117.2965278	24.81216667			
8	7982	23017	1	117.2965278	24.81216667			
1	8201	24796	1	119.2766667	25.57683331			
1	8202	24736	1	119.2766667	25.57683331			
1	8211	24736	1	119.27449	25.6258			
1	8212	24736	1	119.27449	25.6258			
1	8213	24736	1	119.27449	25.6258			
1	8222	24796	1	119.301826	25.704268			
1	8225	24796	1	119.301826	25.704268			
1	8231	24736	1	119.29302	25.75514			
1	8233	24796	1	119.29302	25.75514			
1	8281	22859	1	119.18139	25.46572			
1	8282	22859	1	119.18139	25.46572			
1	8283	22859	1	119.18139	25.46572			
1	8431	24979	1	118.92403	25.28494			
